Animal,Height (cm),Weight (kg),Color,Lifespan (years),Diet,Habitat,Predators,Countries Found,Conservation Status,Family,Social Structure
Aardvark,105-130,40-65,Grey,20-30,Insectivore,"Savannas, Grasslands","Lions, Hyenas",Africa,Least Concern,Orycteropodidae,Solitary
African Elephant,270-310,2700-6000,Grey,60-70,Herbivore,"Savannah, Forest","Lions, Hyenas",Africa,Vulnerable,Elephantidae,Herd-based
Alpine Ibex,67-101,19-120,Brown,15-20,Herbivore,"Mountains, Alpine","Wolves, Golden Eagles",European Alps,Least Concern,Bovidae,Group-based
American Bison,152-186,"318-1,000",Brown,15-20,Herbivore,"Grasslands, Plains","Wolves, Grizzly Bears",North America,Near Threatened,Bovidae,Group-based
Anteater,52-91,22-41,"Brown, White",15-20,Insectivore,"Grasslands, Forests","Jaguars, Pumas",Central and South America,Least Concern,Myrmecophagidae,Solitary
Arabian Horse,140-160,380-1000,Various,25-30,Herbivore,"Middle East, North Africa","Humans, Predators","Middle East, North Africa",Not Applicable,Equidae,Herd-based
Asian Elephant,200-300,2000-5000,Grey,60-80,Herbivore,"Grasslands, Forests","Tigers, Leopards",Asia (Southeast),Endangered,Elephantidae,Herd-based
Atlantic Spotted Dolphin,200-250,120-140,"Gray, White",20-25,Carnivore,"Oceans, Coastal Areas","Sharks, Orcas",Worldwide,Least Concern,Delphinidae,Group-based
Australian Fur Seal,112-160,18-40,"Brown, Gray",14-17,Carnivore,Coastal Waters,"Sharks, Orcas","Australia, New Zealand",Least Concern,Otariidae,Group-based
Baird's Tapir,76-107,150-400,"Brown, Black",25-30,Herbivore,"Rainforests, Grasslands","Jaguars, Crocodiles",Central and South America,Endangered,Tapiridae,Solitary
Basking Shark,Up to 1100,400-700,"Gray, Brown",20-25,Carnivore,Oceans,"Orcas, Great White Sharks",Worldwide,Vulnerable,Cetorhinidae,Solitary
Black Rhinoceros,132-180,"800-1,400","Gray, Black",35-50,Herbivore,"Grasslands, Forests","Lions, Hyenas",Eastern and Southern Africa,Critically Endangered,Rhinocerotidae,Solitary
Blobfish,Up to 30,Up to 10,Pinkish-gray,Up to 100,Carnivore,Deep-sea,Not Applicable,"Australia, New Zealand, Tasmania",Vulnerable,Psychrolutidae,Solitary
Blue Morpho Butterfly,Up to 15,Up to 0.028,Blue,1-2 weeks,Herbivore,Rainforests,"Birds, Bats",Central and South America,Not Evaluated,Nymphalidae,Solitary
Blue-Ringed Octopus,Up to 20,Up to 0.3,"Blue, Brown",6-8 months,Carnivore,"Coral Reefs, Tide Pools",Larger Fish,Indo-Pacific region,Near Threatened,Octopodidae,Solitary
Bonobo,Up to 150,30-40,Black,40-60,Omnivore,Rainforests,"Leopards, Humans",Democratic Republic of Congo,Endangered,Hominidae,Social groups
Bornean Orangutan,96-150,30-82,Reddish-brown,35-45,Omnivore,Rainforests,"Tigers, Humans",Borneo,Critically Endangered,Hominidae,Solitary
Bottlenose Dolphin,200-400,150-650,Grey,20-50,Carnivore,Oceans,"Sharks, Orcas",Oceans worldwide,Least Concern,Delphinidae,Social pods
Brown Bear,70-120,70-780,Brown,20-30,Omnivore,"Forests, Mountains","Wolves, Tigers","North America, Europe, Asia",Least Concern,Ursidae,Solitary
